Service_Code,Ministry,Department_Agency,Service_Family,Service_Category,Service_Name,Channel_Type,Service_Nature,Delivery_Mode,Digital_Platform,Legal_Basis,Target_Segment,Shared_Capabilities_Required,Lifecycle_Tag,Priority_Tier
FOR-DIA-002,Ministry of Foreign and Diaspora Affairs,State Department for Diaspora Affairs,"Trade, Industry & Investment",Diaspora Affairs,Diaspora Investment Facilitation,B2G,Informational,Online,Diaspora Portal,Investment Promotion Act,Investment support,"Identity, Notifications, Workflow",Business,Tier 2
FOR-DIA-003,Ministry of Foreign and Diaspora Affairs,State Department for Diaspora Affairs,"Trade, Industry & Investment",Diaspora Affairs,Diaspora Welfare And Support Programmes,C2G,Entitlement-Based,Physical,Diaspora Systems,Diaspora Policy,Community support,None,Citizen,Tier 2
FOR-DIP-001,Ministry of Foreign and Diaspora Affairs,State Department for Foreign Affairs,Governance & Intergovernmental Coordination,Diplomatic Relations,Negotiation And Management Of Bilateral Agreements,G2G,Transactional,Physical,Diplomatic Systems,Foreign Service Act,Bilateral treaties,Payments,Internal Government,Tier 3
FOR-DIP-002,Ministry of Foreign and Diaspora Affairs,State Department for Foreign Affairs,Governance & Intergovernmental Coordination,Diplomatic Relations,Multilateral Treaty Coordination And Reporting,G2G,Transactional,Physical,Diplomatic Systems,Foreign Service Act,UN AU obligations,Payments,Internal Government,Tier 3
FOR-DIP-003,Ministry of Foreign and Diaspora Affairs,State Department for Foreign Affairs,Governance & Intergovernmental Coordination,Diplomatic Relations,Protocol And State Ceremonies Management,G2G,Transactional,Physical,Protocol Systems,State Protocol Rules,Official events,Payments,Internal Government,Tier 3
FOR-INT-001,Ministry of Foreign and Diaspora Affairs,State Department for Foreign Affairs,Governance & Intergovernmental Coordination,International Cooperation,International Technical Cooperation Coordination,G2G,Transactional,Physical,Cooperation Systems,Foreign Service Act,Development partners,Payments,Internal Government,Tier 3
FOR-INT-002,Ministry of Foreign and Diaspora Affairs,State Department for Foreign Affairs,Governance & Intergovernmental Coordination,International Cooperation,Posting And Management Of Diplomatic Staff,G2G,Transactional,Physical,HR Systems,Foreign Service Act,Foreign missions,Payments,Internal Government,Tier 3
CUL-SPR-001,Ministry of Culture Sports and Heritage,State Department for Sports,"Tourism, Heritage & Sports",Sports Development,Registration Of Sports Organizations,B2G,Regulatory,Online,Sports Registrar Portal,Sports Act,Federations clubs,"Identity, Notifications, Workflow",Business,Tier 2
CUL-SPR-002,Ministry of Culture Sports and Heritage,State Department for Sports,"Tourism, Heritage & Sports",Sports Development,Licensing Of Sports Events And Competitions,B2G,Regulatory,Online,Sports Systems,Sports Act,Event approval,"Identity, Notifications, Workflow",Business,Tier 2
CUL-SPR-003,Ministry of Culture Sports and Heritage,State Department for Sports,"Tourism, Heritage & Sports",Sports Development,National Sports Funding And Grants,C2G/B2G,Entitlement-Based,Physical,Sports Fund Systems,Sports Act,Athletes teams,None,Citizen,Tier 2
CUL-SPR-004,Ministry of Culture Sports and Heritage,State Department for Sports,"Tourism, Heritage & Sports",Sports Development,Athlete Registration And Eligibility Management,C2G,Transactional,Online,Sports Systems,Sports Act,National teams,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
CUL-ART-001,Ministry of Culture Sports and Heritage,State Department for Culture,"Tourism, Heritage & Sports",Arts and Creative Economy,Registration Of Creative Associations,C2G/B2G,Regulatory,Hybrid,Culture Systems,Culture Policy,Creative groups,"Identity, Notifications, Workflow",Citizen,Tier 2
CUL-ART-002,Ministry of Culture Sports and Heritage,State Department for Culture,"Tourism, Heritage & Sports",Arts and Creative Economy,Creative Grants And Sponsorships,C2G/B2G,Entitlement-Based,Physical,Creative Economy Systems,Culture Policy,Artists creators,None,Citizen,Tier 2
CUL-ART-003,Ministry of Culture Sports and Heritage,Kenya Copyright Board,"Tourism, Heritage & Sports",Arts and Creative Economy,Copyright Registration And Management,C2G/B2G,Regulatory,Online,KECOBO Portal,Copyright Act,IP protection,"Identity, Notifications, Workflow",Citizen,Tier 2
IND-PSC-001,Independent Offices and Commissions,Public Service Commission,Governance & Intergovernmental Coordination,Public Service Management,Recruitment And Selection Of Public Officers,G2G,Transactional,Online,PSC Portal,Constitution of Kenya,Civil service hiring,"Payments, Identity, Notifications, Workflow",Internal Government,Tier 3
IND-PSC-002,Independent Offices and Commissions,Public Service Commission,Governance & Intergovernmental Coordination,Public Service Management,Human Resource Appeals And Reviews,C2G,Transactional,Online,PSC Portal,Constitution of Kenya,HR appeals,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
IND-PSC-003,Independent Offices and Commissions,Public Service Commission,Governance & Intergovernmental Coordination,Public Service Management,Public Service Performance Management,G2G,Transactional,Physical,PSC Systems,Public Service Commission Act,Performance oversight,Payments,Internal Government,Tier 3
IND-IEB-001,Independent Offices and Commissions,Independent Electoral and Boundaries Commission,Governance & Intergovernmental Coordination,Elections Management,Voter Registration,C2G,Transactional,Hybrid,IEBC Systems,Constitution of Kenya,Elections,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
IND-IEB-002,Independent Offices and Commissions,Independent Electoral and Boundaries Commission,Governance & Intergovernmental Coordination,Elections Management,Candidate Nomination Management,B2G,Regulatory,Online,IEBC Systems,Elections Act,Political parties,"Identity, Notifications, Workflow",Business,Tier 2
IND-IEB-003,Independent Offices and Commissions,Independent Electoral and Boundaries Commission,Governance & Intergovernmental Coordination,Elections Management,Election Results Management And Publication,G2G,Informational,Online,IEBC Systems,Elections Act,National results,"Identity, Notifications, Workflow",Internal Government,Tier 3
IND-EAC-001,Independent Offices and Commissions,EACC,Security & Public Safety,Ethics and Integrity,Asset Declaration Processing,G2G,Regulatory,Online,EACC Systems,Leadership and Integrity Act,Public officers,"Identity, Notifications, Workflow",Internal Government,Tier 3
IND-EAC-002,Independent Offices and Commissions,EACC,Security & Public Safety,Ethics and Integrity,Corruption Complaints And Investigations,C2G,Informational,Hybrid,EACC Systems,Anti-Corruption and Economic Crimes Act,Whistleblowing,"Identity, Notifications, Workflow",Citizen,Tier 2
IND-EAC-003,Independent Offices and Commissions,EACC,Security & Public Safety,Ethics and Integrity,Integrity Vetting And Clearance,B2G,Regulatory,Physical,EACC Systems,Leadership and Integrity Act,Vetting,None,Business,Tier 2
IND-AUD-001,Independent Offices and Commissions,Office of the Auditor-General,Public Finance & Procurement,Public Audit,Audit Of Public Accounts,G2G,Transactional,Physical,OAG Audit Systems,Constitution of Kenya,Financial oversight,Payments,Internal Government,Tier 3
IND-AUD-002,Independent Offices and Commissions,Office of the Auditor-General,Public Finance & Procurement,Public Audit,Audit Reports Publication,G2G,Informational,Online,OAG Website,Public Audit Act,Transparency,"Identity, Notifications, Workflow",Internal Government,Tier 3
IND-COB-001,Independent Offices and Commissions,Office of the Controller of Budget,Public Finance & Procurement,Budget Oversight,Budget Implementation Oversight,G2G,Transactional,Physical,COB Systems,Constitution of Kenya,Expenditure control,Payments,Internal Government,Tier 3
IND-COB-002,Independent Offices and Commissions,Office of the Controller of Budget,Public Finance & Procurement,Budget Oversight,Approval Of Withdrawals From Public Funds,G2G,Regulatory,Physical,COB Systems,Public Finance Management Act,Exchequer control,None,Internal Government,Tier 3
IND-JSC-001,Independent Offices and Commissions,Judicial Service Commission,Justice & Legal Services,Judicial Service Management,Recruitment Of Judicial Officers,G2G,Transactional,Online,JSC Portal,Constitution of Kenya,Judiciary staffing,"Payments, Identity, Notifications, Workflow",Internal Government,Tier 3
IND-JSC-002,Independent Offices and Commissions,Judicial Service Commission,Justice & Legal Services,Judicial Service Management,Disciplinary Proceedings For Judicial Officers,G2G,Transactional,Physical,JSC Systems,Judicial Service Act,Judicial discipline,Payments,Internal Government,Tier 3
